"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R22,R21,R17,R27,R28";"0603R";5;"10k";;;
2;"JP3,JP2,JP4";"SMD_JUMPER";3;"SMD_JUMPER";;;
3;"C4,C8,C3,C6,C21,C2,C14,C20,C5";"0603C";9;"100n";;;
4;"R6,R8,R9,R7";"0603R";4;"49R9 1%";;;
5;"R16,R15";"0603R";2;"0R";;;
6;"H1,H3,H2,H4";"HOLE_3.2mm";4;"HOLE_3.2mm";;;
7;"U1";"WIZnet W5500";1;"W5500";;;
8;"C9,C10";"0603C";2;"6n8";;;
9;"C12";"0603C";1;"4u7";;;
10;"C18,C19";"0603C";2;"2u2";;;
11;"C15,C1";"ELECTROLITIC_CAP_4mm";2;"EDK106M016A9BAA";;;
12;"R10";"0603R";1;"10R 1%";;;
13;"U3";"TXB0104QPWRQ1";1;"TXB0104PWR";;;
14;"R12,R11";"0603R";2;"330R";;;
15;"FB1";"0603L";1;"MMZ1608S601ATA00";;;
16;"R14";"0603R";1;"1M";;;
17;"C13,C7";"0603C";2;"10n";;;
18;"JP1";"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";1;"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";;;
19;"C17,C16";"0603C";2;"18p";;;
20;"R3,R4,R1,R2";"0603R";4;"33R";;;
21;"U2";"SOT-23-5";1;"SE5218";;;
22;"R13";"0402R";1;"2k2";;;
23;"X1";"CRYSTAL_3225__4_PAD";1;"TSX-3225 25.0000MF10P-C3";;;
24;"K2";"HEADER_MALE_9X1";1;"HEADER_MALE_9X1";;;
25;"R5";"0603R";1;"12k4_1%";;;
26;"K1";"HR913550A";1;"HR_913550A";;;
27;"D1";"0402LED";1;"purple";;;
28;"U5";"SOT-363";1;"NMOS-DUAL";;;
29;"C11";"0603C";1;"22n";;;
